freq,mag,db
126.599,1.66303,4.418
126.799,1.66851,4.44656
126.999,1.66947,4.4516
127.199,1.66573,4.43212
127.399,1.66105,4.40765
127.599,1.66041,4.40428
127.799,1.66511,4.42888
127.999,1.6726,4.46784
128.199,1.67958,4.50403
128.399,1.68325,4.52295
128.599,1.68179,4.51546
128.799,1.67689,4.49007
128.999,1.67356,4.47282
129.199,1.67545,4.48265
129.399,1.68173,4.51513
129.599,1.68922,4.55374
129.799,1.69487,4.58274
129.999,1.69607,4.58888
130.199,1.69238,4.56996
130.399,1.68752,4.54499
130.599,1.68653,4.53986
130.799,1.69083,4.56198
130.999,1.69799,4.59871
131.199,1.70477,4.63334
131.399,1.70829,4.65124
131.599,1.70671,4.64318
131.799,1.70169,4.61759
131.999,1.69828,4.60017
132.199,1.7001,4.60951
132.399,1.70626,4.64089
132.599,1.71345,4.67743
132.799,1.71861,4.70357
132.999,1.71932,4.70712
133.199,1.71533,4.68698
133.399,1.71046,4.66225
133.599,1.70967,4.65823
133.799,1.7142,4.6812
133.999,1.72127,4.71696
134.199,1.72743,4.74801
134.399,1.73006,4.76122
134.599,1.72781,4.74991
134.799,1.72262,4.72381
134.999,1.71953,4.70821
135.199,1.72192,4.72026
135.399,1.72838,4.75278
135.599,1.73512,4.78658
135.799,1.73913,4.80664
135.999,1.73868,4.8044
136.199,1.73419,4.78195
136.399,1.72958,4.75882
136.599,1.72956,4.75873
136.799,1.73483,4.78514
136.999,1.74186,4.82027
137.199,1.74688,4.84524
137.399,1.74789,4.85028
137.599,1.74461,4.83398
137.799,1.73947,4.80835
137.999,1.73725,4.79724
138.199,1.74072,4.81458
138.399,1.74765,4.8491
138.599,1.75354,4.87833
138.799,1.75567,4.88884
138.999,1.75356,4.87842
139.199,1.7487,4.85428
139.399,1.74494,4.83559
139.599,1.74627,4.84221
139.799,1.75247,4.87304
139.999,1.75915,4.90604
140.199,1.7623,4.92159
140.399,1.76108,4.91556
140.599,1.75678,4.89433
140.799,1.75232,4.87226
140.999,1.75168,4.86908
141.199,1.75649,4.89291
141.399,1.76356,4.9278
141.599,1.76789,4.94908
141.799,1.76742,4.94681
141.999,1.76353,4.92765
142.199,1.75892,4.90491
142.399,1.75692,4.89506
142.599,1.76002,4.91033
142.799,1.76679,4.9437
142.999,1.77227,4.97062
143.199,1.7728,4.97321
143.399,1.76911,4.95512
143.599,1.76437,4.93181
143.799,1.76167,4.9185
143.999,1.76329,4.92646
144.199,1.76912,4.95512
144.399,1.7753,4.98546
144.599,1.77713,4.99439
144.799,1.7738,4.97811
144.999,1.76868,4.95298
145.199,1.76549,4.93729
145.399,1.76621,4.94083
145.599,1.77093,4.96401
145.799,1.77709,4.99417
145.999,1.78014,5.00907
146.199,1.77764,4.99688
146.399,1.77211,4.96979
146.599,1.76818,4.95055
146.799,1.76839,4.95156
146.999,1.77239,4.97116
147.199,1.77803,4.99877
147.399,1.78172,5.01679
147.599,1.78036,5.01015
147.799,1.77486,4.98327
147.999,1.76997,4.95933
148.199,1.76951,4.95707
148.399,1.77326,4.97544
148.599,1.7785,5.00108
148.799,1.78217,5.01898
148.999,1.78166,5.01651
149.199,1.77676,4.99255
149.399,1.77117,4.96521
149.599,1.76966,4.95779
149.799,1.77316,4.97495
149.999,1.77848,5.00097
150.199,1.78196,5.01796
150.399,1.78164,5.01638
150.599,1.77741,4.99574
150.799,1.77178,4.9682
150.999,1.76921,4.95559
151.199,1.77201,4.96933
151.399,1.77759,4.99663
151.599,1.78128,5.01464
151.799,1.78074,5.01203
151.999,1.77667,4.99215
152.199,1.77141,4.96639
152.399,1.76837,4.95147
152.599,1.77019,4.9604
152.799,1.77561,4.98695
152.999,1.77984,5.00762
153.199,1.77934,5.0052
153.399,1.7749,4.98347
153.599,1.76974,4.9582
153.799,1.76686,4.94406
153.999,1.76807,4.95
154.199,1.77281,4.97323
154.399,1.77729,4.99517
154.599,1.77729,4.99517
154.799,1.77256,4.97202
154.999,1.76695,4.94449
155.199,1.76426,4.93123
155.399,1.76556,4.93767
155.599,1.76968,4.9579
155.799,1.77374,4.97781
155.999,1.77416,4.97984
156.199,1.76968,4.95792
156.399,1.76356,4.92781
156.599,1.76054,4.91294
156.799,1.7622,4.92112
156.999,1.76634,4.94147
157.199,1.76972,4.9581
157.399,1.76986,4.95879
157.599,1.76584,4.93901
157.799,1.75978,4.90918
157.999,1.75624,4.89167
158.199,1.75781,4.89946
158.399,1.76235,4.92186
158.599,1.76552,4.93747
158.799,1.76489,4.93436
158.999,1.76077,4.91403
159.199,1.75525,4.88678
159.399,1.75172,4.86928
159.599,1.75283,4.87477
159.799,1.75739,4.89738
159.999,1.76081,4.91425
160.199,1.75968,4.9087
160.399,1.75485,4.88482
160.599,1.74958,4.85868
160.799,1.74674,4.84455
160.999,1.74775,4.84959
161.199,1.75176,4.86947
161.399,1.75511,4.88611
161.599,1.75404,4.88079
161.799,1.74867,4.85413
161.999,1.74304,4.82613
162.199,1.74083,4.81511
162.399,1.74248,4.82335
162.599,1.74603,4.84103
162.799,1.74859,4.85375
162.999,1.74742,4.84794
163.199,1.74216,4.82176
163.399,1.73626,4.79228
163.599,1.7341,4.78149
163.799,1.73648,4.79338
163.999,1.74023,4.81213
164.199,1.74184,4.82014
164.399,1.73982,4.8101
164.599,1.7348,4.78497
164.799,1.72938,4.7578
164.999,1.72722,4.74696
165.199,1.72969,4.75937
165.398,1.73379,4.77991
165.598,1.73501,4.78603
165.798,1.73187,4.77028
165.998,1.72646,4.74315
166.198,1.7219,4.72017
166.398,1.72047,4.71295
166.598,1.72274,4.72438
166.798,1.72647,4.74319
166.998,1.72755,4.74861
167.198,1.72385,4.73001
167.398,1.71777,4.69932
167.598,1.71361,4.67823
167.798,1.71338,4.67708
167.998,1.71598,4.69027
168.198,1.71882,4.70459
168.398,1.7191,4.706
168.598,1.71531,4.68685
168.798,1.7092,4.65584
168.998,1.70508,4.63487
169.198,1.7056,4.63753
169.398,1.70898,4.65472
169.598,1.71126,4.66632
169.798,1.71012,4.66054
169.998,1.70581,4.63863
170.198,1.70037,4.61086
170.398,1.69689,4.59307
170.598,1.6976,4.59673
170.798,1.7012,4.61511
170.998,1.70337,4.62619
171.198,1.70117,4.61494
171.398,1.69582,4.5876
171.598,1.69084,4.56203
171.798,1.68875,4.55131
171.998,1.69,4.55776
172.198,1.69302,4.57322
172.398,1.69455,4.58107
172.598,1.6919,4.56752
172.798,1.68601,4.5372
172.998,1.68104,4.51155
173.198,1.68013,4.50686
173.398,1.6825,4.51909
173.598,1.68501,4.53206
173.798,1.68506,4.53233
173.998,1.68173,4.51515
174.198,1.67619,4.48649
174.398,1.67173,4.46331
174.598,1.67135,4.46135
174.798,1.67442,4.47727
174.998,1.67689,4.4901
175.198,1.67558,4.48332
175.398,1.67096,4.45931
175.598,1.66581,4.43253
175.798,1.66278,4.41671
175.998,1.66313,4.41854
176.198,1.66593,4.43313
176.398,1.6679,4.44341
176.598,1.6659,4.43298
176.798,1.66037,4.40411
